"id","name","symbol","description"
1,"revolutions per minute","rpm","Broj okretaja pumpe"
2,"ampere","A","Struja u amperima"
3,"volt","V","Napon u voltima"
4,"ampere-hour","Ah","Amper-sat"
5,"watt-hour","Wh","Vat-sat"
6,"insolation","kWh/m2","Kilowatt sat po metru kvadratnom"
7,"watt","W","snaga u vatima"
8,"meter","m","meter"
9,"degree celsius","°C","degree celsius"
10,"pH","pH","mjera kiselosti, odnosno lužnatosti"
11,"degree","°","matematički stupnjevi -90 to 90 for latitude and -180 to 180 for longitude"
12,"kilometer per hour","km/h","kilometar/sat"
13,"knot","knot","Čvor - 1 nautička milja/sat"
14,"gram","g","Masa"
